scenario,entities,iteration,mean_bits,std_bits,mean_bytes,std_bytes,runs
data,128,1,18.4375,0.0239,3.0537,0.0030,100
data,128,2,18.8665,0.0515,3.1063,0.0064,100
data,128,3,19.2919,0.0761,3.1583,0.0097,100
data,128,4,19.7209,0.0989,3.2105,0.0125,100
data,128,6,20.5703,0.1442,3.3142,0.0179,100
data,128,7,20.9787,0.1716,3.3641,0.0213,100
data,128,10,22.1770,0.2456,3.5096,0.0311,100
data,128,13,23.3360,0.2935,3.6501,0.0372,100
data,128,18,25.2715,0.4179,3.8830,0.0530,100
data,128,24,27.5265,0.5267,4.1539,0.0656,100
data,128,32,30.4813,0.6457,4.5077,0.0802,100
data,128,42,34.0341,0.6782,4.9323,0.0846,100
data,128,56,38.8578,0.8898,5.5062,0.1109,100
data,128,75,45.1829,1.2750,6.2616,0.1575,100
data,128,100,53.6291,1.5749,7.2779,0.1930,100
data,128,133,65.2983,2.0491,8.6926,0.2500,100
data,128,178,83.6134,2.8782,10.9379,0.3531,100
data,128,237,113.3557,4.5896,14.6284,0.5738,100
data,128,316,168.2508,8.6829,21.4745,1.0850,100
data,128,422,277.8479,16.4381,35.1669,2.0564,100
data,128,562,502.9770,33.2575,63.3138,4.1610,100
data,128,750,940.1607,51.4318,117.9594,6.4279,100
data,128,1000,1644.6645,67.7790,206.0205,8.4787,100
data,128,1334,2543.3582,81.6508,318.3552,10.2094,100
data,128,1778,3535.9330,94.8210,442.4322,11.8498,100
data,128,2371,4677.8477,112.7369,585.1694,14.0920,100
data,128,3162,6009.8337,147.4555,751.6651,18.4367,100
data,128,4217,7619.8727,168.5352,952.9224,21.0678,100
data,128,5623,9563.8701,208.1710,1195.9184,26.0188,100
data,128,7499,11910.7978,310.6895,1489.2911,38.8344,100
data,128,10000,14680.2799,462.1037,1835.4701,57.7604,100
data,128,13335,17669.9445,880.2342,2209.1842,110.0319,100
data,128,17783,20345.8341,1298.7180,2543.6681,162.3392,100
data,128,23714,22846.7566,1530.7287,2856.2855,191.3395,100
data,128,31623,24098.4375,2158.2629,3012.7391,269.7838,100
data,128,42170,25111.2878,2199.8401,3139.3433,274.9780,100
data,128,56234,25320.7927,2183.6023,3165.5321,272.9542,100
data,128,74989,26141.1560,2530.8239,3268.0842,316.3542,100
data,128,100000,26091.3812,2397.0920,3261.8591,299.6376,100
data,64,1,18.5200,0.0640,3.0533,0.0080,100
data,64,2,19.0627,0.1063,3.1103,0.0139,100
data,64,3,19.6370,0.1804,3.1708,0.0222,100
data,64,4,20.1980,0.2345,3.2302,0.0270,100
data,64,6,21.3464,0.3136,3.3531,0.0345,100
data,64,7,21.9033,0.3603,3.4134,0.0400,100
data,64,10,23.6325,0.5226,3.6016,0.0552,100
data,64,13,25.3548,0.6449,3.7947,0.0675,100
data,64,18,28.0542,0.8584,4.0984,0.0915,100
data,64,24,31.5944,1.0903,4.5023,0.1188,100
data,64,32,36.2150,1.2706,5.0386,0.1496,100
data,64,42,42.0019,1.5892,5.7314,0.1851,100
data,64,56,50.4602,2.0644,6.7636,0.2453,100
data,64,75,62.7052,2.5380,8.2789,0.3127,100
data,64,100,81.3691,3.8445,10.6083,0.4786,100
data,64,133,111.9891,5.9365,14.4270,0.7389,100
data,64,178,168.2602,10.5900,21.4747,1.3294,100
data,64,237,271.8961,19.6522,34.4275,2.4551,100
data,64,316,456.4289,31.3452,57.4948,3.9204,100
data,64,422,744.1859,46.1650,93.4605,5.7710,100
data,64,562,1122.4019,53.5283,140.7417,6.6887,100
data,64,750,1554.1528,71.1355,194.7114,8.9007,100
data,64,1000,2037.3725,78.2591,255.1077,9.7809,100
data,64,1334,2598.5595,104.7385,325.2608,13.0937,100
data,64,1778,3229.1788,126.0152,404.0827,15.7512,100
data,64,2371,3977.6089,163.2046,497.6389,20.4019,100
data,64,3162,4728.4417,246.9375,591.4972,30.8671,100
data,64,4217,5544.9291,356.1227,693.5511,44.5244,100
data,64,5623,6221.6702,526.6167,778.1447,65.8328,100
data,64,7499,6627.0681,676.1805,828.8178,84.5259,100
data,64,10000,7030.9341,797.4635,879.3034,99.6816,100
data,64,13335,7087.7405,774.6176,886.4020,96.8287,100
data,64,17783,7158.3370,794.5722,895.2375,99.3202,100
data,64,23714,7351.4277,1001.6096,919.3603,125.2059,100
data,64,31623,7293.5080,796.4829,912.1331,99.5620,100
data,64,42170,7303.3858,783.9603,913.3606,97.9976,100
data,64,56234,7413.3094,980.6203,927.0995,122.5745,100
data,64,74989,7270.7817,818.5208,909.2827,102.3177,100
data,64,100000,7242.7070,999.3833,905.7737,124.9237,100
data,32,1,18.8206,0.0786,3.0906,0.0094,100
data,32,2,19.6591,0.1871,3.1831,0.0203,100
data,32,3,20.4959,0.2997,3.2763,0.0312,100
data,32,4,21.3078,0.4108,3.3678,0.0414,100
data,32,6,23.0319,0.5147,3.5616,0.0558,100
data,32,7,23.9059,0.6182,3.6606,0.0690,100
data,32,10,26.5787,0.9769,3.9622,0.1102,100
data,32,13,29.3172,1.3418,4.2787,0.1488,100
data,32,18,34.0800,1.7795,4.8384,0.2006,100
data,32,24,40.0878,2.1846,5.5550,0.2568,100
