common,differing,redacted,mean_ns,divergence_elems
0,1,0,34508.45045384017,1
0,10,0,63377.67756641176,10
0,100,0,341159.0695,100
0,1000,0,2979422.885,1000
0,10000,0,32873787.55,10000
0,100000,0,408255041.5,100000
1,1,0,32269.04612617035,1
1,10,0,58691.58462844439,10
1,100,0,326767.0236842105,100
1,1000,0,3182629.395,1000
1,10000,0,33376964.5,10000
1,100000,0,406801220.9,100000
10,0,1,31882.29771784529,1
10,1,0,35903.70077349455,1
10,1,1,35021.22838450475,2
10,10,0,60902.25285695796,10
10,10,1,60651.68765795669,11
10,100,0,306607.67157894734,100
10,100,1,314671.0194736843,101
10,1000,0,3272791.015,1000
10,1000,1,3279346.03,1001
10,10000,0,33596191.7,10000
10,10000,1,32973895.8,10001
10,100000,0,418384591.7,100000
10,100000,1,409510208.2,100001
100,0,1,50796.00587613129,1
100,0,10,50440.994909868736,10
100,1,0,54374.0559226153,1
100,1,1,54999.86522846549,2
100,1,10,54796.70160644299,11
100,10,0,95718.77832948456,10
100,10,1,96173.00340381832,11
100,10,10,96736.00668104274,20
100,100,0,471943.72538461536,100
100,100,1,489979.47,101
100,100,10,451640.3184615385,110
100,1000,0,3418513.57,1000
100,1000,1,3413333.755,1001
100,1000,10,3410158.755,1010
100,10000,0,34037833.25,10000
100,10000,1,33718947.95,10001
100,10000,10,33970300.05,10010
100,100000,0,413151783.1,100000
100,100000,1,417371700.0,100001
100,100000,10,436267295.8,100010
1000,0,1,113721.84599999998,1
1000,0,10,116510.19999999998,10
1000,0,100,129120.8225,100
1000,1,0,123478.58800000003,1
1000,1,1,128294.35600000006,2
1000,1,10,119148.00999999998,11
1000,1,100,146863.2125,101
1000,10,0,185934.2475,10
1000,10,1,192748.82400000005,11
1000,10,10,198918.5,20
1000,10,100,205753.735,110
1000,100,0,787732.61,100
1000,100,1,816895.2175,101
1000,100,10,812419.36,110
1000,100,100,824478.7725,200
1000,1000,0,3929461.02,1000
1000,1000,1,5557627.93,1001
1000,1000,10,3798293.15,1010
1000,1000,100,3771222.69,1100
1000,10000,0,36901172.95,10000
1000,10000,1,40628075.0,10001
1000,10000,10,35675039.45,10010
1000,10000,100,35294618.7,10100
1000,100000,0,441781350.1,100000
1000,100000,1,418483845.9,100001
1000,100000,10,459990595.9,100010
1000,100000,100,439922350.0,100100
10000,0,1,154989.65,1
10000,0,10,154436.84999999998,10
10000,0,100,643638.55,100
10000,0,1000,387723.975,1000
10000,1,0,179367.3,1
10000,1,1,1473493.1,2
10000,1,10,434908.4,11
10000,1,100,239218.0666666667,101
10000,1,1000,496100.025,1001
10000,10,0,665707.6,10
10000,10,1,666175.05,11
10000,10,10,704154.2,20
10000,10,100,739847.9166666667,110
10000,10,1000,1050552.125,1010
10000,100,0,2755307.633333334,100
10000,100,1,2860545.116666666,101
10000,100,10,2750611.7166666663,110
10000,100,100,2711502.7666666666,200
10000,100,1000,2846353.075,1100
10000,1000,0,7988618.825,1000
10000,1000,1,8728789.625,1001
10000,1000,10,8758584.425,1010
10000,1000,100,8001196.85,1100
10000,1000,1000,8105883.375,2000
10000,10000,0,45405387.45,10000
10000,10000,1,46136904.3,10001
10000,10000,10,45989687.55,10010
10000,10000,100,47289852.1,10100
10000,10000,1000,45442023.0,11000
10000,100000,0,436007108.6,100000
10000,100000,1,436751570.8,100001
10000,100000,10,441083054.4,100010
10000,100000,100,435800545.9,100100
10000,100000,1000,431249654.3,101000
100000,0,1,242004.2,1
100000,0,10,258187.4,10
100000,0,100,309541.7,100
100000,0,1000,789949.9,1000
100000,0,10000,4123529.2,10000
100000,1,0,320329.1,1
100000,1,1,643933.2,2
100000,1,10,746554.4,11
100000,1,100,701537.5,101
100000,1,1000,1054562.5,1001
100000,1,10000,4530104.1,10001
100000,10,0,2223216.7,10
100000,10,1,2280750.2,11
100000,10,10,2318104.2,20
100000,10,100,2392587.5,110
100000,10,1000,2887558.3,1010
100000,10,10000,5799375.1,10010
100000,100,0,13173670.8,100
100000,100,1,13056154.1,101
100000,100,10,13152237.5,110
100000,100,100,13295941.7,200
100000,100,1000,13217362.5,1100
100000,100,10000,16106833.6,10100
100000,1000,0,30764395.9,1000
100000,1000,1,30607320.8,1001
100000,1000,10,30885908.4,1010
100000,1000,100,31322433.3,1100
100000,1000,1000,30897933.5,2000
100000,1000,10000,34446791.7,11000
100000,10000,0,90630433.2,10000
100000,10000,1,90229983.0,10001
100000,10000,10,92034362.5,10010
100000,10000,100,91893279.1,10100
100000,10000,1000,89816337.3,11000
100000,10000,10000,95344737.6,20000
100000,100000,0,536581745.8,100000
100000,100000,1,532756416.6,100001
100000,100000,10,521899795.8,100010
100000,100000,100,542244000.0,100100
100000,100000,1000,575091416.7,101000
100000,100000,10000,558701270.9,110000
